[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2024-06-06 02:47:05] Saving 910 values; 37335 bytes
[2024-06-06 02:48:05] Saving 910 values; 37335 bytes
[2024-06-06 02:49:05] Saving 910 values; 37335 bytes
[2024-06-06 02:50:05] Saving 910 values; 37335 bytes
[2024-06-06 02:51:05] Saving 910 values; 37335 bytes
[2024-06-06 02:52:05] Saving 910 values; 37335 bytes
[2024-06-06 02:53:05] Saving 910 values; 37335 bytes
[2024-06-06 02:54:05] Saving 910 values; 37335 bytes
[2024-06-06 02:55:05] Saving 910 values; 37335 bytes
[2024-06-06 02:56:05] Saving 910 values; 37335 bytes
[2024-06-06 02:57:05] Saving 910 values; 37335 bytes
[2024-06-06 02:58:05] Saving 910 values; 37335 bytes
[2024-06-06 02:59:05] Saving 910 values; 37335 bytes
[2024-06-06 03:00:05] Saving 910 values; 37335 bytes
[2024-06-06 03:01:05] Saving 910 values; 37335 bytes
[2024-06-06 03:02:05] Saving 910 values; 37335 bytes
[2024-06-06 03:03:05] Saving 910 values; 37335 bytes
[2024-06-06 03:04:05] Saving 910 values; 37335 bytes
[2024-06-06 03:05:05] Saving 910 values; 37335 bytes
[2024-06-06 03:06:05] Saving 910 values; 37335 bytes
[2024-06-06 03:07:05] Saving 910 values; 37335 bytes
[2024-06-06 03:08:05] Saving 910 values; 37335 bytes
[2024-06-06 03:09:05] Saving 910 values; 37335 bytes
[2024-06-06 03:10:05] Saving 910 values; 37335 bytes
[2024-06-06 03:11:05] Saving 910 values; 37335 bytes
[2024-06-06 03:12:05] Saving 910 values; 37335 bytes
[2024-06-06 03:13:05] Saving 910 values; 37335 bytes
[2024-06-06 03:14:05] Saving 910 values; 37335 bytes
[2024-06-06 03:15:05] Saving 910 values; 37335 bytes
[2024-06-06 03:16:05] Saving 910 values; 37335 bytes
[2024-06-06 03:17:05] Saving 910 values; 37335 bytes
[2024-06-06 03:18:05] Saving 910 values; 37335 bytes
[2024-06-06 03:19:05] Saving 910 values; 37335 bytes
[2024-06-06 03:20:05] Saving 910 values; 37335 bytes
[2024-06-06 03:21:05] Saving 910 values; 37335 bytes
